show_id,type,title,director,cast,country,date_added,release_year,rating,duration,genre
s1,Movie,A Spark Story,"Jason Sterman, Leanne Dare","Apthon Corbin, Louis Gonzales",,"September 24, 2021",2021,TV-PG,88 min,Documentary
s2,Movie,Spooky Buddies,Robert Vince,"Tucker Albrizzi, Diedrich Bader, Ameko Eks Mass Carroll, Max Charles, Tim Conway, Jennifer Elise Cox","United States, Canada","September 24, 2021",2011,G,93 min,"Comedy, Fantasy, Kids"
s3,Movie,The Fault in Our Stars,Josh Boone,"Shailene Woodley, Ansel Elgort, Laura Dern, Sam Trammell, Nat Wolff, Willem Dafoe",United States,"September 24, 2021",2014,PG-13,127 min,"Coming of Age, Drama, Romance"
s4,TV Show,Dog: Impossible,,Matt Beisner,United States,"September 22, 2021",2019,TV-PG,2 Seasons,"Animals & Nature, Docuseries, Family"
s5,TV Show,Spidey And His Amazing Friends,,"Benjamin Valic, Lily Sanfelippo, Jakari Fraser, Dee Bradley Baker, Melanie Minichino",United States,"September 22, 2021",2021,TV-Y,1 Season,"Action-Adventure, Animation, Kids"
s6,TV Show,Star Wars: Visions,,,,"September 22, 2021",2021,TV-PG,1 Season,"Action-Adventure, Animation, Anime"
s7,Movie,Confessions of a Shopaholic,P.J. Hogan,"Isla Fisher, Hugh Dancy, Joan Cusack, John Goodman, John Lithgow, Kristin Scott Thomas",United States,"September 17, 2021",2009,PG,106 min,"Comedy, Romance, Romantic Comedy"
s8,Movie,Descendants: Royal Wedding,Salvador Simó,"Dove Cameron, Sofia Carson, Booboo Stewart, Mitchell Hope, Sarah Jeffery, Melanie Paxson",,"September 17, 2021",2021,TV-G,22 min,"Animation, Fantasy, Musical"
s9,Movie,Disney's Broadway Hits at London's Royal Albert Hall,Jay Hatcher,"John Barrowman, Ashley Brown, Merle Dandridge, Trevor Dion Nicholas, Jade Ewen, Alton Fitzgerald White",,"September 17, 2021",2016,TV-G,116 min,Concert Film
s10,Movie,Flooded Tombs of the Nile,Katie Bauer Murdock,Devin E. Haqq,,"September 17, 2021",2021,TV-PG,44 min,Documentary
s11,Movie,Jade Eyed Leopard,,Jeremy Irons,,"September 17, 2021",2020,TV-PG,44 min,"Animals & Nature, Documentary"
